"municipio";"nombre_cine";"numero_pantallas";"fecha_inaguracion";"direccion";"comunidad"
"Ampudia";"Cine Isabel";"1";"1950";"c/ Josefa Gromar";"CASTILLA Y LEON"
"Aranda de Duero";"Teatro‐Cine Aranda (""Cine de Abajo"")";"3";"1935";"c/ de las Postas, 2";"CASTILLA Y LEON"
"Arcos de Jalón";"Cine Numancia";"1";"1955";"Ctra. Maranchón, 8";"CASTILLA Y LEON"
"Arenas de San Pedro";"Cine Arenas";"3";"1956";"c/ La Sorpresa, 6";"CASTILLA Y LEON"
"Arévalo";"Cine Teatro Castilla (Cine Castilla)";"3";"1970";"c/ Los Linajes, 4";"CASTILLA Y LEON"
"Arévalo";"Gran Cinema";"2";"1951";"Pl. San Francisco, 12 esquina c/ Gran Cinema";"CASTILLA Y LEON"
"Astorga";"Cine Asturic";"2";"1949";"c/ Rodríguez de Cela, 7";"CASTILLA Y LEON"
"Astorga";"Cine Tagarro";"2";"1958";"c/ Gabriel Franco, 7‐9";"CASTILLA Y LEON"
"Astorga";"Cine Velasco (Teatro Velasco)";"3";"1911";"c/ Alonso Garrote, 9";"CASTILLA Y LEON"
"Astorga";"Teatro Manuel Gullón (Cine Manuel Gullón, Cine Gullón)";"1";"1923";"c/ Cortes Leonesas, 2‐4 y Pl. Arquitecto Gaudí, s/n";"CASTILLA Y LEON"
"Ávila";"Auditorio de Caja de Ávila (Cine Reyes Católicos)";"2";"1960";"c/ Reyes Católicos, s/n";"CASTILLA Y LEON"
"Ávila";"Cines Victoria (Cine Tomás Luis de Victoria)";"1";"1957";"c/ Lesquinas, 4";"CASTILLA Y LEON"
"Ávila";"Gran Cinema (Teatro Liceo)";"2";"1927";"c/ Vallespín, 1";"CASTILLA Y LEON"
"Ávila";"Multicines Ávila (Multicines Estrella)";"1";"1998";"c/ Virgen de Covadonga, 7";"CASTILLA Y LEON"
"Ávila";"Teatro de Caja de Ávila (Teatro Cine Avenida)";"3";"1979";"Avda. de la Juventud, 6";"CASTILLA Y LEON"
"Baltanás";"Cine San José (Cine de la Cooperativa)";"2";"1960";"c/La Virgen, 8";"CASTILLA Y LEON"
"La Bañeza";"Cine Cabello";"2";"1964";"c/ Santa Cecilia";"CASTILLA Y LEON"
"La Bañeza";"Teatro Municipal Pérez Alonso (Teatro Pérez Alonso)";"3";"1930";"c/ Padre Miguélez";"CASTILLA Y LEON"
"El Barco de Ávila";"Cine‐Teatro Lagasca (Cine Lagasca)";"3";"1949";"c/ Mayor, 34";"CASTILLA Y LEON"
"Barruelo de Santullán";"Auditorio Nicolás Torre (Cine Moderno)";"3";"1957";"c/ Las Huertas";"CASTILLA Y LEON"
"Barruelo de Santullán";"Cine Avenida (Cine Centro)";"2";"1928";"c/ Jorge Manrique, 8";"CASTILLA Y LEON"
"Béjar";"Multicines Béjar (Cine Béjar)";"3";"1974";"c/ Obispo Zarránz y Pueyo, 5";"CASTILLA Y LEON"
"Belorado";"Teatro Cine Principal";"1";"1929";"c/ Ramón y Cajal, 33";"CASTILLA Y LEON"
"Bembibre";"Teatro Municipal Benevivere (Cine Paz)";"3";"1964";"Avda. del Bierzo, 20";"CASTILLA Y LEON"
"Benavente";"Multicines Benavente (Cines Benavente)";"3";"1999";"c/ Los Carros, 49";"CASTILLA Y LEON"
"Benavente";"Teatro Reina Sofía (Gran Teatro, Teatro Municipal)";"3";"1928";"c/ La Rúa, 35";"CASTILLA Y LEON"
"Benavides de Órbigo";"Gran Cine Imperial (Cine Imperial)";"1";"1955";"Avda. Órbigo, 49";"CASTILLA Y LEON"
"Berlanga de Duero";"Cine Castillo";"1";"1940";"Pl. Mercado, 7‐9";"CASTILLA Y LEON"
"Boñar";"Cine Morilla";"1";"1930";"c/ Ángel Ruiz, 9‐11";"CASTILLA Y LEON"
"La Bóveda de Toro";"Cine Ideal";"1";"1955";"c/ Cañada, 28";"CASTILLA Y LEON"
"Brañosera";"Cine Ideal";"1";"1945";"Poblado de Vallejo de Orbó";"CASTILLA Y LEON"
"Briviesca";"Cine Moderno (Teatro Moderno)";"1";"1943";"c/ Santa María Encimera, 18";"CASTILLA Y LEON"
"Burgo de Osma";"Cine Palafox";"3";"1958";"c/ Obispo Rubén Montiel, 3";"CASTILLA Y LEON"
"Burgos";"Cines Van Golem";"3";"1992";"Avda. Arlanzón, 36";"CASTILLA Y LEON"
"Burgos";"Gran Teatro (Gran Teatro Cine)";"2";"1945";"c/ Vitoria, 18";"CASTILLA Y LEON"
"Busto de Bureba";"Cine Moderno";"2";"1954";"c/ El Fresco, 37";"CASTILLA Y LEON"
"Cacabelos";"Cine Litán";"1";"1943";"Avda. de la Constitución, 41";"CASTILLA Y LEON"
"Cacabelos";"Cine Municipal Faba (Cine Faba, Cine Park)";"3";"1960";"Plaza del Parque, 2";"CASTILLA Y LEON"
"Candeleda";"Cine Joyma (Cine Luis Buñuel)";"2";"1966";"Avda. Aviación Española, 8";"CASTILLA Y LEON"
"Cantalapiedra";"Salón Pósito (Cine Cantalapiedra)";"3";"1932";"c/ Larga, 25";"CASTILLA Y LEON"
"Cantimpalos";"Cine Matarranz";"2";"1940";"c/ Carretera Pinillos";"CASTILLA Y LEON"
"Carbonero el Mayor";"Cine Imperial";"2";"1940";"c/ San Roque";"CASTILLA Y LEON"
"Carbonero el Mayor";"Cine Martín";"2";"1949";"c/ Temeroso con Ctra. Valladolid";"CASTILLA Y LEON"
"Carrión de los Condes";"Teatro Sarabia";"3";"1927";"Pl. Marqués de Santillana, s/n";"CASTILLA Y LEON"
"Carrizo de la Ribera";"Cine Carrizo";"2";"1949";"c/ Marqueses de Santa María de Carriño, 4";"CASTILLA Y LEON"
"Casasola de Arión";"Cine Castilla";"2";"1949";"Ctra. De Morales";"CASTILLA Y LEON"
"Castrejón de la Peña";"Cinema Elías (Salón Cinema, Salón Cinema de Elías)";"2";"1958";"Ctra. La Magdalena, 27 (CL‐626)";"CASTILLA Y LEON"
"Castrocontrigo";"Cine Cervantes";"2";"1949";"c/ La Borra";"CASTILLA Y LEON"
"Cebreros";"Cine Capitol";"1";"1943";"Avda. de la Constitución, 13";"CASTILLA Y LEON"
"Cebreros";"Cine El Cabildo (Salón El Cabildo)";"2";"1945";"Travesía de la Plaza de España, 1";"CASTILLA Y LEON"
"Cervera de Pisuerga";"Cine Capitol";"2";"1943";"c/ Cuérnago";"CASTILLA Y LEON"
"Cevico de la Torre";"Cine La Flor";"1";"1928";"Pl. de Santa Ana";"CASTILLA Y LEON"
"Cisneros";"Salón de Baile y Cine";"1";"1930";"Pl. Mayor esquina c/ Santa Teresa";"CASTILLA Y LEON"
"Cistierna";"Cine Mary";"3";"1964";"c/ La Unión, 23";"CASTILLA Y LEON"
"Ciudad Rodrigo";"Cine Juventud";"3";"1959";"c/ Campo de San Vicente, 1";"CASTILLA Y LEON"
"Ciudad Rodrigo";"Cine Madrid";"1";"1960";"c/ Madrid, 16";"CASTILLA Y LEON"
"Ciudad Rodrigo";"Teatro Nuevo Fernando Arrabal (Teatro Nuevo)";"3";"1900";"c/ de los Gigantes, 22";"CASTILLA Y LEON"
"Coreses";"Cine Avenida";"1";"1956";"c/ Requejo, 19";"CASTILLA Y LEON"
"Corrales";"Cine Ideal";"2";"1932";"c/ La Gavia";"CASTILLA Y LEON"
"Covaleda";"Cine Cerji";"1";"1948";"Avda. Juan Carlos I, 31 esquina con c/ San José, 10";"CASTILLA Y LEON"
"Covarrubias";"Cine Recreo";"2";"1954";"Pl. Doña Urraca, 9";"CASTILLA Y LEON"
"Cuéllar";"Teatro Cine Ideal (Cine Ideal)";"1";"1955";"c/ Trinidad, 11";"CASTILLA Y LEON"
"Dueñas";"Cine España (Cine Calzada)";"1";"1929";"Pl. Campillo, 3";"CASTILLA Y LEON"
"Dueñas";"Cine Gil";"1";"1956";"c/ Antonio Monedero, 26";"CASTILLA Y LEON"
"El Espinar";"Cine Imperial";"2";"1949";"Avda. de la Hontanilla, 12 (El Espinar)";"CASTILLA Y LEON"
"Espinosa de los Monteros";"Salón Cine";"1";"1920";"c/ Pedreros o c/ Sol esquina a c/ Monteros";"CASTILLA Y LEON"
"Fabero";"Cine Castellano";"1";"1954";"Pl. Minero";"CASTILLA Y LEON"
"Fabero";"Cine Veraluz";"1";"1955";"Pl. del Minero";"CASTILLA Y LEON"
"Fresno de la Vega";"Gran Cinema";"2";"1948";"C/ Arriba, 17";"CASTILLA Y LEON"
"La Fuente de San Esteban";"Cine Fuentes";"2";"1952";"c/ La Fuentona";"CASTILLA Y LEON"
"Fuenteguinaldo";"Nuevo Cinema";"2";"1948";"c/ San Sebastián, 3";"CASTILLA Y LEON"
"Fuentepelayo";"Cine María Luisa";"2";"1940";"c/ Dr. Gilsanz esquina Pl. Mayor";"CASTILLA Y LEON"
"Fuentes de Ropel";"Ideal Cinema";"2";"1951";"c/ Santa María";"CASTILLA Y LEON"
"Fuentesaúco";"Teatro Municipal (Cine Jim)";"3";"1930";"c/ Teatro, 1";"CASTILLA Y LEON"
"Gavilanes";"Cine Trébol";"2";"1955";"Pl. General Monasterio, 6";"CASTILLA Y LEON"
"Gordoncillo";"Cine Begoña";"2";"1945";"c/ La Zarza, 2‐4";"CASTILLA Y LEON"
"La Granja de San Ildefonso";"Centro Cultural Canónigos";"3";"1940";"c/ Estebanilla, s/n";"CASTILLA Y LEON"
"Guardo";"Cine Montañés";"2";"1931";"c/ Mayor, 23";"CASTILLA Y LEON"
"Guardo";"Cine Valdehaya";"2";"1956";"c/ La Unión, 8";"CASTILLA Y LEON"
"Guijuelo";"Cine El Progreso (Cine Progreso)";"2";"1955";"c/ Huerto Redondo, 6";"CASTILLA Y LEON"
"La Horra";"Cinema Castilla";"1";"1953";"c/ Fray Eustasio, 23";"CASTILLA Y LEON"
"Hospital de Órbigo";"Cine España";"2";"1954";"Ctra. Le‐420, 44";"CASTILLA Y LEON"
"Huerta de Rey";"Teatro Huerta (Cine Huerta)";"3";"1960";"Avda. Alonso López, 1";"CASTILLA Y LEON"
"Íscar";"Cine Sara";"2";"1934";"Pl. Mayor, 11";"CASTILLA Y LEON"
"Íscar";"Teatro Lobejón (Gran Teatro Lobejón)";"2";"1949";"c/ Palomares esquina con c/ Ronda";"CASTILLA Y LEON"
"Lanzahita";"Cine de Lanzahita";"1";"1952";"Pl. General Monasterio, 4‐5 y c/ Virgen del Prado, 1";"CASTILLA Y LEON"
"Ledesma";"Cine San Miguel";"2";"1946";"Pl. San Miguel";"CASTILLA Y LEON"
"León";"Cine Abella";"1";"1968";"Avda. del Padre Isla, 118";"CASTILLA Y LEON"
"León";"Cine Condado (Gran Cine Condado)";"2";"1949";"Avda. República Argentina, 32 y c/ Villafranca, 4‐8";"CASTILLA Y LEON"
"León";"Cine Teatro Emperador (Cine Emperador)";"1";"1951";"Avda. de la Independencia, 14";"CASTILLA Y LEON"
"León";"Cines Van Gogh";"3";"1990";"c/ San Claudio, 5";"CASTILLA Y LEON"
"León";"Teatro Trianón";"2";"1953";"c/ Ramón y Cajal, 25 esquina a c/ La Torre";"CASTILLA Y LEON"
"Lumbrales";"Cine Calderón";"2";"1945";"c/ Ancha";"CASTILLA Y LEON"
"Machacón";"Cine de Nuevo Francos";"2";"1964";"Poblado de Nuevo Francos";"CASTILLA Y LEON"
"Macotera";"Cine Ramos";"2";"1946";"c/ Botica";"CASTILLA Y LEON"
"Madrigal de las Altas Torres";"Cine Ideal";"2";"1943";"c/ Los Angeles, 12";"CASTILLA Y LEON"
"Magaz de Cepeda";"Cine María Cristina";"2";"1955";"c/ El Rincón esquina c/ Puente. Vega de Magaz";"CASTILLA Y LEON"
"Manganeses de";"Cine Los Ángeles (Cinema Los Ángeles)";"2";"1955";"Pl. España";"CASTILLA Y LEON"
"Mansilla de las Mulas";"Cine Radio (Cinema Radio)";"1";"1945";"Pl. Antonio Martínez Sacristán esquina c/ La Noria";"CASTILLA Y LEON"
"Mayorga de Campos";"Cine DAYNI (Cine Herrero)";"1";"1946";"c/ Derecha";"CASTILLA Y LEON"
"Medina de Rioseco";"Cine OMY (Cinema Omy)";"1";"1951";"c/ Román Martín, 6";"CASTILLA Y LEON"
"Medina del Campo";"Cine Lope de Vega";"1";"1970";"Avda. Lope de Vega, 19";"CASTILLA Y LEON"
"Medina del Campo";"Multicines Coliseo (Cine Coliseo)";"3";"1933";"c/ Simón Ruiz, 9";"CASTILLA Y LEON"
"Medina del Campo";"Teatro Olimpia";"1";"1955";"c/ Cuenca, 1";"CASTILLA Y LEON"
"Melgar de Fernamental";"Cine Torres (Teatro Cine Marcos Torres)";"2";"1940";"Avda. Calvo Sotelo";"CASTILLA Y LEON"
"Miranda de Ebro";"Centro Cultural Caja de Burgos (Cine Astoria)";"3";"1965";"Avda. Comuneros de Castilla, 14";"CASTILLA Y LEON"
"Miranda de Ebro";"Cine Novedades (Salón Novedades)";"3";"1932";"c/ Real Allende, 9";"CASTILLA Y LEON"
"Miranda de Ebro";"Teatro Salón Apolo (Salón Apolo, Cine Apolo, Teatro Cine Apolo)";"3";"1921";"Pl. Santa María, s/n";"CASTILLA Y LEON"
"Montemayor";"Cine Arenas";"3";"1969";"c/ Humildad, 12";"CASTILLA Y LEON"
"Moraleja del Vino";"Cine Martín (""Cine de Elie"")";"1";"1950";"Pl. Iglesia";"CASTILLA Y LEON"
"Morales de Toro";"Teatro La Flor (Cine La Flor)";"1";"1940";"c/ Juana Monroy";"CASTILLA Y LEON"
"Mozoncillo";"Cine Manololbo";"2";"1956";"Mozoncillo";"CASTILLA Y LEON"
"Nava de la Asunción";"Frontón Cinema (""Cine de la Maura"")";"1";"1947";"Pl. de la Asunción";"CASTILLA Y LEON"
"Navaleno";"Teatro Cervantes";"3";"1930";"c/ Real, 29";"CASTILLA Y LEON"
"Navalperal de Pinares";"Cine Gamar";"2";"1957";"c/ San Juan de la Cruz";"CASTILLA Y LEON"
"Navalperal de Pinares";"Cine Iskiros";"2";"1950";"Pl. Mayor";"CASTILLA Y LEON"
"Navas de Oro";"Cinema Arévalo";"2";"1948";"c/ Zurdo y Giráldez esquina c/ Orceña";"CASTILLA Y LEON"
"Las Navas del Marqués";"Cine Matute";"2";"1933";"Pl. Nueva, 4";"CASTILLA Y LEON"
"Olmedo";"Cine Luz";"1";"1930";"c/ Calvo Sotelo esquina a c/ Trinidad";"CASTILLA Y LEON"
"Oña";"Centro Cultural Nazaret (Cine Nazaret)";"3";"1940";"Pl. Conde Sancho García";"CASTILLA Y LEON"
"Osorno";"Cine Maudes";"2";"1955";"c/ Incendios, 16";"CASTILLA Y LEON"
"Palacios de la Sierra";"Cine Palacios";"2";"1958";"c/ El Cine";"CASTILLA Y LEON"
"Palencia";"Auditorio Caja España (Salón Novedades, Cine Novedades, Cine Castilla, Teatro Cine Castilla)";"3";"1913";"c/ Mayor, 54";"CASTILLA Y LEON"
"Palencia";"Cine Proyecciones";"1";"1945";"c/ Mayor, 46‐48";"CASTILLA Y LEON"
"Palencia";"Cines Ortega (Gran Teatro Cine Ortega, Teatro Cine Ortega, Cine Ortega)";"3";"1937";"c/ Colón, 2‐6";"CASTILLA Y LEON"
"Palencia";"Multicines Avenida (Cine Gran Vía, Cine Avenida)";"3";"1955";"Avda. de Valladolid, 10‐12 esquina a c/ Fernando el Magno y c/ Dr. Díaz Caneja";"CASTILLA Y LEON"
"Pampliega";"Salón El Cid";"2";"1940";"c/ El Cid, esquina c/ Wamba";"CASTILLA Y LEON"
"Pancorbo";"Cine Capitol";"2";"1965";"c/ Real, 19";"CASTILLA Y LEON"
"Paredes de Nava";"Cine Berruguete";"1";"1936";"c/ Corpus Christi, 3";"CASTILLA Y LEON"
"Pedrajas de San Esteban";"Cine Avenida (Cine España, Cine Español)";"3";"1942";"c/ de las Escuelas, 7";"CASTILLA Y LEON"
"Pedro Bernardo";"Cine Avenida";"2";"1952";"c/ Santa Ana";"CASTILLA Y LEON"
"Pedrosa de Valdeporres";"Salón Avenida";"1";"1953";"Ctra. De la Estación, 5";"CASTILLA Y LEON"
"Peñafiel";"Teatro‐Cine Don Juan Manuel (Teatro‐Cine Rex, Cine Infante Don Juan Manuel)";"3";"1918";"c/ del Palacio, 2";"CASTILLA Y LEON"
"Peñaranda de Bracamonte";"Cine Cervantes";"2";"1953";"c/ Elisa Muñoz";"CASTILLA Y LEON"
"Peñaranda de Bracamonte";"Cine San Miguel";"2";"1954";"c/ Elisa Muñoz";"CASTILLA Y LEON"
"Piedrafita de Babia";"Cine";"2";"1955";"c/ El Cine";"CASTILLA Y LEON"
"Piedrahita";"Teatro Somoza (Cine España)";"3";"1917";"c/ del Teatro, 5";"CASTILLA Y LEON"
"Piedralaves";"Cine Capitol";"2";"1949";"Avda. Castilla y León";"CASTILLA Y LEON"
"Piedralaves";"Cine Riscal";"2";"1970";"Avda. Castilla y León, 39";"CASTILLA Y LEON"
"Pinilla de Toro";"Cine La Unión";"2";"1949";"Pl. La Unión";"CASTILLA Y LEON"
"La Pola de Gordón";"Cine Casado";"1";"1940";"c/ Constitución, 147";"CASTILLA Y LEON"
"La Pola de Gordón";"Cine Educación y Descanso (León Cinema, Cine Visa)";"2";"1940";"c/ Libertad (Santa Lucía de Gordón)";"CASTILLA Y LEON"
"La Pola de Gordón";"Cine Emilia";"3";"1959";"N‐630 (Ciñera de Gordón)";"CASTILLA Y LEON"
"Portillo";"Teatro‐Cine Álvaro de Luna (Cine Álvaro de Luna)";"3";"1960";"c/ Miguel Delibes, 11";"CASTILLA Y LEON"
"Pradoluengo";"Teatro Cinema Glorieta (Cinema Glorieta)";"3";"1931";"Pl. Gervasio Zaldo, 14";"CASTILLA Y LEON"
"Puebla de Sanabria";"Cine Victoria";"1";"1960";"Pl. de Armas, 1";"CASTILLA Y LEON"
"Quintanar de";"Cine Pinares (Cine Alegría de los Pinares)";"2";"1940";"c/ General Jordana";"CASTILLA Y LEON"
"Quintanilla de Onésimo";"Cine Mario's (Cine Mario)";"1";"1955";"c/ Hermanos Alonso Pesquera, 58";"CASTILLA Y LEON"
"Riaza";"Cine Capitol";"2";"1942";"c/ Carnicería esquina c/ Médico Valentín";"CASTILLA Y LEON"
"Roa de Duero";"Cine Alegría";"1";"1940";"c/ Santo Domingo, 13";"CASTILLA Y LEON"
"La Robla";"Cine Robles";"2";"1947";"c/ Ramón y Cajal, 9";"CASTILLA Y LEON"
"Sabero";"Cine Casino";"2";"1954";"Avda. 10 de enero, 23";"CASTILLA Y LEON"
"Sabero";"Cine Saberense (Cine Hulleras)";"1";"1943";"Avda. 10 de Enero, 2";"CASTILLA Y LEON"
"Sahagún";"Cine Ideal";"2";"1945";"c/ Alhóndiga, 9";"CASTILLA Y LEON"
"Salamanca";"Cines Van Dyck";"3";"1979";"Paseo Doctor Torres Villarroel, 40";"CASTILLA Y LEON"
"Salas de los Infantes";"Teatro Auditorio Gran Casino (Cine Gran Casino)";"3";"1940";"c/ Jesús Aparicio";"CASTILLA Y LEON"
"Saldaña";"Cine Victoria";"2";"1950";"Saldaña";"CASTILLA Y LEON"
"San Cebrián de Mudá";"Cine de San Cebrián (""El Cine"")";"3";"1958";"c/ El Campo";"CASTILLA Y LEON"
"San Cristóbal";"Cine Concha";"1";"1950";"c/ Santa Colomba";"CASTILLA Y LEON"
"San Esteban de Gormaz";"Salón Cine (Cine Moderno)";"2";"1938";"c/ Mayor, 40";"CASTILLA Y LEON"
"San Leonardo";"Teatro Cine Juan Yagüe (Cinema San Leonardo, Cine Juan Yagüe)";"1";"1945";"c/ Real esquina a c/ Sol";"CASTILLA Y LEON"
"San Miguel del Valle";"Cine La Flor (Cine La Flor del Valle)";"2";"1955";"Ctra. Valderas";"CASTILLA Y LEON"
"San Salvador";"Cine La Casona";"2";"1940";"San Salvador de Cantamuda";"CASTILLA Y LEON"
"Sancti Spiritus";"Cine San Carlos";"2";"1940";"c/ Salamanca, 31";"CASTILLA Y LEON"
"Santa María del Páramo";"Cine Paramés (Cine Casado)";"3";"1927";"c/ Cirilo Santos, 19";"CASTILLA Y LEON"
"Santa María la";"Cine España";"2";"1946";"c/ Segovia";"CASTILLA Y LEON"
"Santa María Ribarredonda";"Cine Municipal";"3";"1980";"Ctra. Madrid‐Irún";"CASTILLA Y LEON"
"Santibáñez de Béjar";"Cine (""Cine El Centro"")";"1";"1955";"c/ Jorge Moro";"CASTILLA Y LEON"
"Santibáñez de";"Cine Alcázar";"2";"1955";"c/ Estación, 11";"CASTILLA Y LEON"
"Santibáñez de Vidriales";"Cine Mary";"2";"1951";"c/ Mediavilla, 2‐4";"CASTILLA Y LEON"
"Santibáñez de Vidriales";"Cine Principal (Teatro Principal)";"2";"1944";"c/ Mayor";"CASTILLA Y LEON"
"Sardón de Duero";"Cine y Salón de Baile";"2";"1950";"c/ El Humilladero, 18";"CASTILLA Y LEON"
"Segovia";"Multicines Miró (Cine Victoria,";"2";"1949";"c/ Gobernador Fernández";"CASTILLA Y LEON"
"Segovia";"Cine Miró, Sala Miró, Salas Miró)";"";"";"Jiménez, 6";"CASTILLA Y LEON"
"Segovia";"Sala Zuloaga (Cine Las Sirenas, Cine Sirenas)";"2";"1950";"c/ Juan Bravo, 30";"CASTILLA Y LEON"
"Segovia";"Teatro Juan Bravo";"3";"1918";"Pl. Mayor, 6";"CASTILLA Y LEON"
"Sepúlveda";"Teatro Bretón (Cine Bretón)";"3";"1946";"c/ Fernán González, 4";"CASTILLA Y LEON"
"Siete Iglesias";"Cine Trabancos";"2";"1949";"c/ San Gil, 2";"CASTILLA Y LEON"
"Soria";"Cine Rex";"1";"1960";"Avda. de Navarra, 6";"CASTILLA Y LEON"
"Soria";"Cine Teatro Avenida (Cine Avenida)";"1";"1976";"c/ Medinaceli, 2";"CASTILLA Y LEON"
"Sotillo de la Adrada";"Cine Blasco (""Cine de los Blasco"")";"1";"1934";"c/ Doctor Pedro Cifuentes, 1";"CASTILLA Y LEON"
"Sotillo de la Ribera";"Cine Cuesta";"2";"1940";"Ctra. De Burgos";"CASTILLA Y LEON"
"Soto y Amío";"Cine de Canales";"2";"1930";"Avda. Manocho";"CASTILLA Y LEON"
"Tábara";"Cine Moderno";"2";"1952";"Tábara";"CASTILLA Y LEON"
"Tiedra";"Cinema X";"1";"1951";"c/ Nueva, 3";"CASTILLA Y LEON"
"El Tiemblo";"Cine Narcisín";"1";"1930";"c/ Travesía de la Iglesia";"CASTILLA Y LEON"
"Tordesillas";"Cine Principal (Teatro Principal, Teatro‐Cine Principal, ""Cine Viejo"")";"1";"1931";"c/ Libertad, 16";"CASTILLA Y LEON"
"Tordesillas";"Cines Paraíso (Cine Nuevo, ""Cine de Ricardo"")";"1";"1960";"c/ Sombrereros, 7";"CASTILLA Y LEON"
"Toreno";"Cine Santa Bárbara";"1";"1955";"c/ El Campillo, 10";"CASTILLA Y LEON"
"Toro";"Cine Imperio";"1";"1941";"c/ Cerrada, s/n";"CASTILLA Y LEON"
"Traspinedo";"Cine La Triunfal";"2";"1946";"Pl. Jardines";"CASTILLA Y LEON"
"Tremor de Arriba";"El Cine";"1";"1960";"Avda. Sospirón, s/n";"CASTILLA Y LEON"
"Trespaderne";"Cine Rosales";"2";"1950";"Ctra. De Bilbao";"CASTILLA Y LEON"
"Valbuena de Duero";"Cine San Bernardo";"2";"1954";"Pl. Mayor (San Bernardo)";"CASTILLA Y LEON"
"Valencia de Don Juan";"Multicines Coyanza (Cinema Ortiz, Cine Goyanza o Coyanza)";"3";"1949";"Pl. El Salvador";"CASTILLA Y LEON"
"Valladolid";"Cine Alameda";"2";"1961";"c/ Portillo del Prado, 7‐9";"CASTILLA Y LEON"
"Valladolid";"Cine Babón (Cine Paz)";"2";"1960";"c/ Olmo, 63";"CASTILLA Y LEON"
"Valladolid";"Cine Castilla";"1";"1960";"Avda. de los Cerros";"CASTILLA Y LEON"
"Valladolid";"Cines Broadway";"3";"1996";"C/ García Morato, 34 c/ Garcia Morato, 34";"CASTILLA Y LEON"
"Valladolid";"Cines Casablanca (Cine Casablanca, Minicines Casablanca)";"3";"1990";"c/ de Leopoldo Cano, 8";"CASTILLA Y LEON"
"Valladolid";"Cines Manhattan";"3";"1983";"c/ Cervantes, 13‐15";"CASTILLA Y LEON"
"Valladolid";"Cines Mantería Renoir (Cine Lafuente, Cine Mantería, Salas Mantería)";"1";"1933";"c/ Mantería, 34‐36";"CASTILLA Y LEON"
"Valladolid";"Roxy Salas (Cine Roxy, Cinema Radio)";"2";"1936";"c/ María de Molina, 20";"CASTILLA Y LEON"
"Valladolid";"Teatro Carrión (Cine Carrión)";"1";"1948";"c/ Montero Calvo, 2";"CASTILLA Y LEON"
"Valladolid";"Teatro Cervantes";"3";"1959";"c/ Santuario, 22, esquina c/ Simón Aranda";"CASTILLA Y LEON"
"Valladolid";"Teatro Lope de Vega";"1";"1921";"c/ María de Molina, 8";"CASTILLA Y LEON"
"Valle de Mena";"Teatro Municipal Sala Amania";"3";"1959";"Pl. de San Antonio (Villasana de";"CASTILLA Y LEON"
"Valle de Mena";"(Cine Amania)";"";"1998";"Mena)";"CASTILLA Y LEON"
"Valle de Tobalina";"Cine Pereda";"2";"1952";"Ctra. Miranda, 25 (Quintana Martín Galíndez)";"CASTILLA Y LEON"
"Valverde de la Virgen";"Cine Morano";"2";"1951";"Avda. Aviación";"CASTILLA Y LEON"
"Velilla del Río Carrión";"Cine Carrión";"2";"1956";"c/ El Cid, 1";"CASTILLA Y LEON"
"Vezdemarbán";"Cine Ramos";"2";"1948";"Vezdemarbán";"CASTILLA Y LEON"
"Villa de Bernardos";"Cine Coliseum";"2";"1949";"c/ Castillo, 7";"CASTILLA Y LEON"
"Villablino";"Cine EL CINE (Cine Muxiven nuevo, segundo cine Muxiven)";"3";"1994";"c/ Omaña, 1";"CASTILLA Y LEON"
"Villablino";"Cine Muxiven (Cine Muxiven viejo)";"1";"1944";"c/ Muxiven, s/n";"CASTILLA Y LEON"
"Villadiego";"Cine Capitol";"2";"1952";"c/ Mayor, 11";"CASTILLA Y LEON"
"Villadiego";"Cine Casa del Pueblo";"1";"1930";"c/ Mayor, 36";"CASTILLA Y LEON"
"Villafranca del Bierzo";"Cine Villafranquino (Teatro Villafranquino)";"3";"1905";"Pl. Mayor, 1";"CASTILLA Y LEON"
"Villalón de Campos";"Cine El Rollo (Teatro El Rollo)";"1";"1902";"c/ Santo Domingo";"CASTILLA Y LEON"
"Villalpando";"Cine Unión";"2";"1942";"c/ Real, 2";"CASTILLA Y LEON"
"Villamañán";"Cine Margarita";"2";"1955";"c/ de la Hermandad, 13";"CASTILLA Y LEON"
"Villanueva del Campo";"Teatro Municipal (Cine Imperial)";"3";"1947";"Pl. España, 1";"CASTILLA Y LEON"
"Villaquejida";"Cine Villaquejida";"2";"1950";"Ctra. a León";"CASTILLA Y LEON"
"Villarcayo";"Cine Capitol";"2";"1932";"c/ San Roque, 7";"CASTILLA Y LEON"
"Villarcayo";"Cine Fénix";"2";"1936";"c/ San Roque, 3";"CASTILLA Y LEON"
"Villarejo de Órbigo";"Cine Gordón";"1";"1942";"c/ Pío de Cela, 50 (Veguellina de Órbigo)";"CASTILLA Y LEON"
"Villaseca de Laciana";"Cinema Villaseca (Cine Villaseca)";"1";"1951";"c/ Travesía de Lumajo, 8";"CASTILLA Y LEON"
"Vilviestre del Pinar";"Cine Vilviestre";"2";"1958";"c/ Mayor, 21";"CASTILLA Y LEON"
"Vitigudino";"Cine España";"2";"1934";"c/ Santiago Fuentes, 7";"CASTILLA Y LEON"
"Zamora";"Cine Barrueco";"1";"1943";"Avda. de Portugal, 16";"CASTILLA Y LEON"
"Zamora";"Multicines Zamora";"3";"1993";"Avda. de Víctor Gallego, 20";"CASTILLA Y LEON"
"Zamora";"Teatro Principal";"3";"1924";"c/ San Vicente, 1";"CASTILLA Y LEON"
